SMILES,Name,Cluster,Center
COc1ccc(-c2oc3c(CCC(C)(C)O)c(O)cc(O)c3c(=O)c2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)cc1,101921701,1,No
O=C(OC[C@@H]1O[C@H](Oc2ccc(O)cc2COC(=O)[C@]2(O)[C@@H](O)C=CC(=O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1,101930166,3,No
O=C(OC[C@H]1O[C@@H](Oc2ccc(O)cc2COC(=O)[C@@]2(O)[C@H](O)C=CC(=O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1OC(=O)c1ccccc1)c1ccccc1,101930169,3,No
O=C(Cc1ccccc1C(=O)OCc1cc(O)ccc1O[C@H]1O[C@@H](COC(=O)c2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O)c1ccccc1,101930400,3,No
O=C(OC[C@@H]1O[C@H](Oc2ccc(O)cc2CO)[C@@H](OC/C=C/c2ccc(O)cc2)[C@H](O)[C@H]1O)c1ccccc1,101930401,3,No
OC[C@]1(O)CO[C@H](OC[C@@H]2O[C@H](OCCc3ccccc3)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]1O,101936057,2,No
C[C@@H]1O[C@@H](O[C@@H]2C(=O)c3c(O)cc(O)cc3O[C@@H]2c2ccc(O)cc2)[C@H](O)[C@H](O)[C@H]1O,101937309,3,No
COc1cc([C@H](CO)[C@@H](O[C@@H]2O[C@H](CO[C@@H]3O[C@@H](CO)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)c2ccc(O)c(OC)c2)ccc1O,101966685,3,No
CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@H](OS(=O)(=O)O)[C@@H]1OC[C@@H]1OC(C(=O)O)=C[C@H](O)[C@H]1O,101989524,2,No
Nc1ccc(O[C@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)cc1,101990901,3,No
O=c1cc(-c2ccc(O)cc2)oc2c([C@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)c(O)cc(O)c12,102004660,1,No
COc1ccc(-c2cc(=O)c3c(O)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@H]4O)c(O)cc3o2)cc1,102017424,1,No
O=C(/C=C/c1ccc(O)c(O)c1)OC[C@H]1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,102019475,1,No
C[C@H]1C[C@H](O)[C@@H]2C(C(=O)O)=CO[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]12,102019699,2,No
C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@H](/C=N\OCCN)CC[C@]12O,102023221,2,No
OC[C@H]1O[C@H](Oc2cc([C@@H]3Oc4cc(O)cc(O)c4C[C@@H]3O)ccc2O)[C@@H](O)[C@H](O)[C@@H]1O,102026326,3,No
O=C(O)/C=C/c1ccc(O)c(O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)c1,102042851,3,No
CO[C@H]1O[C@@H]2C[C@]3(C)[C@@H](c4ccc(=O)oc4)CC[C@]3(O)[C@H]3CC[C@]4(O)C[C@@H](O)CC[C@@]14[C@H]32,102067835,2,No
O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O,102068586,3,No
C/C=C1\[C@H](O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)OC)[C@H]1CC(=O)OCCc1ccc(O)c(O)c1,102078602,2,No
O=C(/C=C/c1ccccc1)OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,102091069,3,No
NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2N)[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H]2O)[C@H]1O,102093889,2,No
Cc1cn(CC(=O)NCCCC[C@H](N)C(=O)NC[C@H]2OC[C@](N)(O[C@@H]3[C@@H](N)C[C@@H](N)[C@H](O)[C@H]3O)[C@@H](O)[C@@H]2O)c(=O)[nH]c1=O,102111893,4,No
Nc1ncnc2c1ncn2CC(=O)NCCCC[C@@H](N)C(=O)NC[C@H]1OC[C@](N)(O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,102111894,4,No
O=C[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO[C@@H]1O[C@@H](CO[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,102123492,2,No
COc1ccc2cc3[n+](cc2c1OC)CCc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1-3,102128787,3,No
O=C(O)CC(=O)OC[C@H]1O[C@@H](Oc2cc(O)c3c(=O)cc(-c4ccc(O)c(O)c4)oc3c2)[C@H](O[C@@H]2OC[C@](O)(CO)[C@H]2O)[C@@H](O)[C@@H]1O,102130970,1,No
COc1cc(O[C@@H]2O[C@H](COC(=O)c3cc(O)c(O)c(O)c3)[C@@H](O)[C@H](O)[C@H]2OC(=O)c2cc(O)c(O)c(O)c2)ccc1O,102147465,3,No
CC(=O)C1=CC[C@@H]2[C@H]3CC=C4C[C@@H](O)C[C@H](O[C@@H]5OC[C@H](O)[C@H](O)[C@H]5O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@]4(C)[C@H]3CC[C@]12C,102148270,2,No
COc1cc(C(=O)O[C@H]2[C@H](Oc3ccc(O)cc3[C@@H]3CC(=O)c4c(cc(O)c(OC)c4O)O3)O[C@H](CO)[C@@H](O)[C@@H]2O)ccc1O,102155803,3,No
CCCCCCC(CCCCCC)O[C@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O,102160699,2,No
CC1=C(CO)CC[C@]2(C)c3c(cc(C[C@@H](C)O)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c3O)C(=O)C[C@H]12,102165889,3,No
CC(C)(C)c1cc(O)c(-c2cc(O)c(C(C)(C)C)c(Cl)c2O)cc1O,102200301,0,No
CC(=O)c1c(O)cc(O[C@H]2O[C@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)c2c1C[C@@H](/C=C/C=C/C=O)OC2=O,102212905,3,No
O=c1ccc2ccc(O[C@@H]3O[C@H](CO[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)cc2o1,102244728,3,No
O=c1cc(-c2cccc(O)c2)oc2cc(O[C@H]3O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]3O)cc(O)c12,102257014,1,No
O=C(OC[C@H]1O[C@@H](Oc2ccc(O)cc2COC(=O)[C@@]2(O)[C@H](O)C=CC(=O)[C@@H]2O)[C@H](OC(=O)c2ccccc2)[C@@H](O)[C@@H]1O)c1ccccc1,102276951,3,No
C[C@H]1C(=O)c2c(O)cc(O)cc2O[C@H]1O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@H]1O,102283907,3,No
OC[C@@H]1O[C@H](c2c(O)cc(O)c3ccc(-c4ccc(O)cc4)[o+]c23)[C@@H](O)[C@H](O)[C@H]1O,102286683,1,No
Cc1cn([C@@H]2C[C@H](O)[C@@H](CO[P@@](=O)(O)O[P@](=O)(O)O[C@H]3O[C@H](C)[C@@H](N)[C@H](O)[C@H]3O)O2)c(=O)[nH]c1=O,10230851,4,No
O=C(/C=C/c1ccccc1)OCc1cc(O)ccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,102340970,3,No
O=C(OCc1cc(O)ccc1O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@H]1O)c1ccc(O)cc1,102340975,3,No
