Compound;SMILES;Cluster;Center;Smiles;RMSD;Model.ID;Energy;nRot
51034838;O=C(O)[C@H]1O[C@@H](Oc2cc(O)c(O)c3oc(-c4ccc(O)c(O)c4)cc(=O)c23)[C@H](O)[C@@H](O)[C@@H]1O;1;No;c1cc(c(cc1c1cc(=O)c2c(c(c(cc2O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O2)O)O)O)O)O)o1)O)O;0.047156133;1;-10.9;4
51136406;COc1ccc(-c2coc3cc(O[C@@H]4O[C@H](CO[C@@H]5OC[C@](O)(CO)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)ccc3c2=O)cc1;1;No;COc1ccc(cc1)c1coc2cc(ccc2c1=O)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO[C@H]2[C@@H]([C@](CO2)(CO)O)O)O1)O)O)O;0.021524113;1;-10.9;8
51136494;C=C1[C@@H](O)C[C@@H]2C(C(=O)O)=CO[C@@H](O[C@@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@H]3OC(=O)/C=C\c3ccc(O)cc3)[C@H]12;2;No;C=C1[C@H](C[C@H]2[C@@H]1[C@@H](OC=C2C(=O)O)O[C@H]1[C@@H]([C@@H]([C@H]([C@H](CO)O1)O)O)OC(=O)/C=C\c1ccc(cc1)O)O;0.02698086;1;-11.5;9
51401817;O=C(CCc1ccccc1)c1c(O)cc(O)cc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@@H](O)[C@H]1O;3;No;c1ccc(cc1)CCC(=O)c1c(cc(cc1O[C@H]1[C@@H]([C@@H]([C@@H]([C@@H](CO)O1)O)O)O)O)O;0.041750301;1;-10.4;7
51520430;C[C@@H](/C=C/[C@]1(O)[C@H](C)CC(=O)CC1(C)C)O[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]1O;2;No;C[C@@H]1CC(=O)CC([C@@]1(/C=C/[C@H](C)O[C@H]1[C@@H]([C@@H]([C@@H]([C@H](CO)O1)O)O)O)O)(C)C;0.039126962;1;-10.3;6
51521845;O=c1cc(-c2ccc(O)cc2)oc2c([C@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)c(O)cc(O)c12;1;No;O=c1cc(oc2c1c(O)cc(O)c2[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O)c1ccc(O)cc1;0.037175596;1;-10.5;3
51693973;C=CCc1ccc(O[C@@H]2O[C@@H](CO[C@@H]3O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]3O)[C@@H](O)[C@@H](O)[C@H]2O)cc1;3;No;C=CCc1ccc(cc1)O[C@H]1[C@@H]([C@@H]([C@@H]([C@H](CO[C@H]2[C@@H]([C@@H]([C@@H]([C@H](CO)O2)O)O)O)O1)O)O)O;0.038786322;1;-11;8
53297402;Cc1cc(O)c2c(c1)C[C@@H](O)C1=C2C(=O)c2c(O)ccc(O[C@H]3C[C@@H](O)[C@H](O)[C@@H](C)O3)c2C1=O;3;No;C[C@@H]1[C@H]([C@@H](C[C@@H](O1)Oc1c2c(c(cc1)O)C(=O)C1=C(C2=O)[C@@H](Cc2cc(cc(c12)O)C)O)O)O;0.042180434;1;-10.8;2
53308573;Cc1cn([C@H]2C[C@H](O)[C@@H](CO[P@](=O)([O-])O[P@@](=O)([O-])O[C@@H]3C[C@@H](O)[C@H](O)[C@@H](CO)O3)O2)c(=O)[nH]c1=O;4;No;Cc1cn(c(=O)[nH]c1=O)[C@H]1C[C@@H]([C@@H](CO[P@](=O)([O-])O[P@@](=O)([O-])O[C@@H]2C[C@H]([C@@H]([C@@H](CO)O2)O)O)O1)O;0.040121798;1;-10.4;9
53348663;COc1cc(O[C@@H]2O[C@H](COC(=O)C[C@@](C)(O)CC(=O)O)[C@@H](O)[C@H](O)[C@H]2O)ccc1O;3;No;C[C@](CC(=O)O)(CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)Oc1cc(c(cc1)O)OC)O)O)O)O;0.044642918;1;-9.5;10
