Compound;SMILES;Cluster;Center;Smiles;RMSD;Model.ID;Energy;nRot
CHEMBL508539;C[C@@H]1CC[C@]2(C(=O)O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)CC[C@]3(C)C(=CC[C@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2[C@]1(C)O;2;No;C[C@@H]1CC[C@]2(C(=O)O[C@H]3[C@@H]([C@H]([C@@H]([C@@H](CO)O3)O)O)O)CC[C@]3(C)C(=CC[C@H]4[C@@]5(C)CC[C@@H]([C@@](C)(CO)[C@@H]5CC[C@@]34C)O)[C@@H]2[C@]1(C)O;0.12027856;1;-10.6;5
CHEMBL508746;CC(C)=CCC/C(C)=C/Cc1c(CCC(=O)c2ccc(O)cc2O)cc(-c2cc(O)c(O)c(C/C=C(\C)CCC=C(C)C)c2CCC(=O)c2ccc(O)cc2O)c(O)c1O;0;No;c1(cc(ccc1C(=O)CCc1cc(c(c(c1C/C=C(/CCC=C(C)C)\C)O)O)c1c(c(c(c(c1)O)O)C/C=C(/CCC=C(C)C)\C)CCC(=O)c1ccc(cc1O)O)O)O;0.053741682;1;-9.8;23
CHEMBL509018;OC[C@@H]1O[C@H](n2cnc3cnc(NCc4cc(O)c(O)c(Br)c4Br)nc32)[C@H](O)[C@@H]1O;1;No;OC[C@@H]1O[C@@H]([C@H](O)[C@@H]1O)n1cnc2cnc(NCc3cc(O)c(O)c(c3Br)Br)nc12;0.09343499;1;-10.6;5
CHEMBL509164;Cc1ccccc1OCC(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC(C)(C)[C@H]1C(=O)N[C@H]1c2ccccc2C[C@H]1O;3;No;Cc1ccccc1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](C(=O)N1CSC(C)(C)[C@H]1C(=O)N[C@H]1c2ccccc2C[C@H]1O)O;0.092105448;1;-11.4;10
CHEMBL509190;C[C@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O)[C@H](CO)O[C@@H]2Oc2c(O)cc(O)c3c(=O)cc(-c4ccc(O)cc4)oc23)[C@H](O)[C@H](O)[C@H]1O;1;No;C[C@@H]1[C@@H]([C@H]([C@H]([C@H](O1)O[C@@H]1[C@@H](Oc2c(cc(c3c(=O)cc(c4ccc(cc4)O)oc23)O)O)O[C@@H](CO)[C@H]([C@@H]1O)O)O)O)O;0.113835216;1;-10.5;6
CHEMBL509386;OC[C@H]1O[C@H](Oc2cc(O)cc(/C=C/c3ccc(O)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O;0;No;c1cc(ccc1/C=C/c1cc(cc(c1)O[C@@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)O)O;0.103795946;1;-10.7;6
CHEMBL509744;O=C(OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]1O)c1cc(O)c(O)c(O)c1;0;No;O=C(OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]1O)c1cc(O)c(O)c(O)c1;0.041911129;1;-11.4;12
CHEMBL509955;NC[C@H]1O[C@@H](OC[C@H]2O[C@@H](OCCSC[C@H]3O[C@@H](n4ccc(N)nc4=O)[C@H](O)[C@@H]3O)[C@H](N)[C@@H](O)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O;2;No;NC[C@@H]1[C@H]([C@@H]([C@@H](N)[C@@H](O1)OC[C@@H]1[C@H]([C@@H]([C@@H](N)[C@@H](O1)OCCSC[C@@H]1[C@H]([C@H]([C@H](n2ccc(N)nc2=O)O1)O)O)O)O)O)O;0.109600611;1;-10;11
CHEMBL51024;O=C(O[C@H]1[C@H](c2cc(O)c(O)c(O)c2)Oc2cc(O)cc(O)c2[C@@H]1SCCO)c1cc(O)c(O)c(O)c1;0;No;[C@H]1([C@H](c2c(cc(cc2O)O)O[C@H]1c1cc(c(c(c1)O)O)O)SCCO)OC(=O)c1cc(c(c(c1)O)O)O;0.122659698;1;-11;7
CHEMBL510404;COc1cc(C(=O)O[C@@H]2[C@@H]3O[C@]3(CO)[C@H]3[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)OC=C[C@@H]23)ccc1O;0;No;O([C@H]1OC=C[C@H]2[C@H](OC(=O)c3ccc(O)c(OC)c3)[C@@H]3O[C@]3(CO)[C@@H]12)[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)CO;0.077651121;1;-10.2;8
CHEMBL511111;COc1ccc(O[C@@H]2O[C@H](CO[C@]3(C(=O)O)C[C@H](O)[C@@H](NC(=O)CO)[C@H]([C@H](O)[C@H](O)CNCc4ccc(-c5ccccc5O)cc4)O3)[C@H](O)[C@H](O)[C@H]2O)cc1;0;No;COc1ccc(cc1)O[C@H]1[C@@H]([C@H]([C@H]([C@@H](CO[C@]2(C(=O)O)C[C@@H]([C@H]([C@H]([C@@H]([C@@H](CNCc3ccc(c4ccccc4O)cc3)O)O)O2)NC(=O)CO)O)O1)O)O)O;0.112609349;1;-10;16
CHEMBL511455;CC(C)=CCc1c([C@@H]2CC(=O)c3c(O)cc(O)c(CC=C(C)C)c3O2)cc2c(c1O)OC(C)(C)C=C2;0;No;c1(cc(c2c(c1CC=C(C)C)O[C@@H](CC2=O)c1cc2c(c(c1CC=C(C)C)O)OC(C=C2)(C)C)O)O;0.1107793;1;-10.3;7
CHEMBL511791;CC[C@H](C)C(=O)C1=C(O)[C@@](C)(CC=C(C)C)C(=O)[C@@]2(C[C@H]3[C@H](CC[C@@]3(C)O)[C@](C)(O)C2)C1=O;2;No;CC[C@H](C)C(=O)C1=C([C@@](C)(CC=C(C)C)C(=O)[C@@]2(C[C@H]3[C@H](CC[C@@]3(C)O)[C@@](C)(C2)O)C1=O)O;0.123017363;1;-10;6
CHEMBL511864;Cc1c(C(=O)Nc2ccccc2O)nnn1Cc1ccccc1O;3;No;Cc1c(C(=O)Nc2ccccc2O)nnn1Cc1ccccc1O;0.083045431;1;-10.1;4
CHEMBL512071;OCc1ccc(O[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)cc1;0;No;OCc1ccc(O[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)cc1;0.119715631;1;-10;7
CHEMBL512112;O=C(O[C@@H]1[C@@H](CO)O[C@@H](Oc2ccc(O)cc2COC(=O)c2ccccc2O)[C@H](O)[C@H]1O)c1ccccc1;0;No;c1(C(=O)OCc2c(ccc(c2)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)OC(=O)c2ccccc2)O)O)ccccc1O;0.044649787;1;-11.6;10
CHEMBL512281;OCc1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]2O)cc1;0;No;OCc1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]2O)cc1;0.105248101;1;-10.7;7
CHEMBL513155;COC(=O)c1ccc(-c2cc(O)c(-c3ccccc3)c(O)c2O[C@@H]2O[C@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)cc1;0;No;COC(=O)c1ccc(c2cc(c(c3ccccc3)c(c2O[C@H]2[C@H]([C@@H]([C@H]([C@@H](CO)O2)O)O)O)O)O)cc1;0.072979301;1;-11.1;7
