Compound,Model ID,Energy,nRot
CHEMBL462034,1,-10.9,9
CHEMBL3597470,1,-10.9,9
CHEMBL4081495,1,-10.9,10
CHEMBL1159622,1,-10.9,7
CHEMBL3786859,1,-10.9,6
CHEMBL3939316,1,-10.9,15
CHEMBL433136,1,-10.9,8
CHEMBL518959,1,-10.9,8
CHEMBL610665,1,-10.9,6
CHEMBL3400189,1,-10.9,14
CHEMBL3120854,1,-10.9,6
CHEMBL442846,1,-10.9,9
CHEMBL1867979,1,-10.9,5
CHEMBL2377254,1,-10.9,3
CHEMBL446767,1,-10.9,7
CHEMBL1669713,1,-10.9,15
CHEMBL333885,1,-10.9,5
CHEMBL465266,1,-10.9,3
CHEMBL1254235,1,-10.9,12
CHEMBL116679,1,-10.9,10
CHEMBL2303958,1,-10.9,7
CHEMBL516718,1,-10.9,6
CHEMBL2094055,1,-10.9,3
CHEMBL1876688,1,-10.8,4
CHEMBL4064486,1,-10.8,3
CHEMBL3609151,1,-10.8,4
CHEMBL3590518,1,-10.8,12
CHEMBL3593565,1,-10.8,6
CHEMBL1091773,1,-10.8,9
CHEMBL3609126,1,-10.8,9
CHEMBL470450,1,-10.8,7
CHEMBL2113058,1,-10.8,9
CHEMBL350068,1,-10.8,9
CHEMBL220160,1,-10.8,6
CHEMBL3747599,1,-10.8,4
CHEMBL518933,1,-10.8,8
CHEMBL185319,1,-10.8,7
CHEMBL3143220,1,-10.8,10
CHEMBL517149,1,-10.8,3
CHEMBL549808,1,-10.8,8
CHEMBL1077014,1,-10.8,12
CHEMBL306322,1,-10.8,10
CHEMBL4097078,1,-10.8,4
CHEMBL517682,1,-10.8,5
CHEMBL1990895,1,-10.8,6
CHEMBL505815,1,-10.8,9
CHEMBL1199238,1,-10.8,6
CHEMBL1689259,1,-10.8,13
CHEMBL1447301,1,-10.8,4
CHEMBL4087913,1,-10.8,6
CHEMBL514177,1,-10.8,7
CHEMBL3634702,1,-10.8,7
CHEMBL3590600,1,-10.8,10
CHEMBL2059080,1,-10.8,5
CHEMBL2152489,1,-10.8,4
CHEMBL467958,1,-10.8,7
CHEMBL447820,1,-10.8,7
CHEMBL485256,1,-10.8,8
CHEMBL1728934,1,-10.8,6
CHEMBL3598234,1,-10.8,13
CHEMBL520362,1,-10.8,9
CHEMBL85378,1,-10.8,19
CHEMBL604427,1,-10.8,8
CHEMBL323597,1,-10.8,7
CHEMBL1645375,1,-10.8,3
CHEMBL487805,1,-10.8,4
CHEMBL467197,1,-10.8,4
CHEMBL3609097,1,-10.8,7
