Compound,Model ID,Energy,nRot
CHEMBL3244757,1,-12.8,8
CHEMBL2419638,1,-12.8,8
CHEMBL3813821,1,-12.7,7
CHEMBL509516,1,-12.7,10
CHEMBL1812485,1,-12.7,9
CHEMBL4082253,1,-12.7,3
CHEMBL80705,1,-12.7,5
CHEMBL2029745,1,-12.7,7
CHEMBL17230,1,-12.7,8
CHEMBL332784,1,-12.7,6
CHEMBL2087146,1,-12.7,5
CHEMBL1224896,1,-12.7,5
CHEMBL3609151,1,-12.7,4
CHEMBL268413,1,-12.7,12
CHEMBL3581974,1,-12.7,9
CHEMBL474561,1,-12.7,7
CHEMBL1790576,1,-12.7,6
CHEMBL3681728,1,-12.7,6
CHEMBL2349177,1,-12.7,5
CHEMBL1224867,1,-12.7,6
CHEMBL322669,1,-12.7,13
CHEMBL1807255,1,-12.7,3
CHEMBL3215295,1,-12.7,11
CHEMBL1222356,1,-12.7,12
CHEMBL4093376,1,-12.7,6
CHEMBL336061,1,-12.7,10
CHEMBL306352,1,-12.7,5
CHEMBL91412,1,-12.7,7
CHEMBL349338,1,-12.7,7
CHEMBL2205646,1,-12.7,13
CHEMBL3215380,1,-12.7,13
CHEMBL1969124,1,-12.7,2
CHEMBL1181207,1,-12.7,6
CHEMBL407883,1,-12.7,15
CHEMBL312226,1,-12.6,12
CHEMBL3354668,1,-12.6,6
CHEMBL1194661,1,-12.6,8
CHEMBL3327104,1,-12.6,7
CHEMBL1711982,1,-12.6,1
CHEMBL2349153,1,-12.6,4
CHEMBL281642,1,-12.6,7
CHEMBL3673092,1,-12.6,8
CHEMBL3634702,1,-12.6,7
CHEMBL3596388,1,-12.6,13
CHEMBL3125431,1,-12.6,7
CHEMBL2367784,1,-12.6,5
CHEMBL1082599,1,-12.6,7
CHEMBL1645591,1,-12.6,11
CHEMBL262041,1,-12.6,16
CHEMBL1964522,1,-12.6,6
CHEMBL1205112,1,-12.6,8
CHEMBL2152656,1,-12.6,6
CHEMBL1474286,1,-12.6,4
CHEMBL275027,1,-12.6,9
CHEMBL1790573,1,-12.6,5
CHEMBL608472,1,-12.6,0
CHEMBL1198707,1,-12.6,8
CHEMBL2386082,1,-12.6,15
CHEMBL131744,1,-12.6,9
CHEMBL504487,1,-12.6,6
CHEMBL3747539,1,-12.6,8
CHEMBL291730,1,-12.6,8
CHEMBL356198,1,-12.6,9
CHEMBL2333161,1,-12.6,7
CHEMBL1682581,1,-12.6,13
CHEMBL3972580,1,-12.6,10
CHEMBL1199219,1,-12.6,8
CHEMBL1224868,1,-12.6,6
CHEMBL1441712,1,-12.6,6
CHEMBL53954,1,-12.6,8
CHEMBL281843,1,-12.6,8
CHEMBL505251,1,-12.6,6
CHEMBL3354670,1,-12.6,6
CHEMBL3609603,1,-12.6,6
CHEMBL3245173,1,-12.6,6
CHEMBL2011653,1,-12.6,6
CHEMBL448304,1,-12.6,11
CHEMBL1835964,1,-12.6,11
CHEMBL2367698,1,-12.6,9
CHEMBL433195,1,-12.5,12
CHEMBL263591,1,-12.5,12
CHEMBL1974153,1,-12.5,5
CHEMBL2375092,1,-12.5,4
CHEMBL1644892,1,-12.5,15
CHEMBL2022723,1,-12.5,7
CHEMBL1992727,1,-12.5,5
CHEMBL325824,1,-12.5,9
CHEMBL344895,1,-12.5,15
CHEMBL420284,1,-12.5,3
CHEMBL501837,1,-12.5,6
CHEMBL1700393,1,-12.5,4
CHEMBL1995989,1,-12.5,12
CHEMBL1885559,1,-12.5,7
CHEMBL1199255,1,-12.5,8
CHEMBL1224859,1,-12.5,8
CHEMBL104952,1,-12.5,3
CHEMBL3245175,1,-12.5,5
CHEMBL2431749,1,-12.5,18
CHEMBL1714943,1,-12.5,6
CHEMBL315555,1,-12.5,7
CHEMBL555663,1,-12.5,12
CHEMBL333885,1,-12.5,5
CHEMBL4068994,1,-12.5,17
CHEMBL1957049,1,-12.5,11
CHEMBL1682606,1,-12.5,12
CHEMBL1796198,1,-12.5,12
CHEMBL3354665,1,-12.5,7
CHEMBL461661,1,-12.5,7
CHEMBL1197788,1,-12.5,4
CHEMBL423423,1,-12.5,5
CHEMBL3354669,1,-12.5,6
CHEMBL420732,1,-12.5,6
CHEMBL2374148,1,-12.5,17
CHEMBL3230578,1,-12.5,6
CHEMBL2023573,1,-12.5,6
CHEMBL394931,1,-12.5,4
CHEMBL1774626,1,-12.5,12
CHEMBL384725,1,-12.5,16
CHEMBL331903,1,-12.5,5
